shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
37933,49.87316,24.04986,0,0.0
37933,49.87306,24.04965,1,18.711591100251066
37933,49.87296,24.04997,2,44.19750967363159
37933,49.8727,24.05061,3,98.41373294710289
37933,49.87064,24.05536,4,508.71650767201527
37933,49.86986,24.05723,5,668.3513996289854
37933,49.86951,24.05693,6,712.8137308414774
37933,49.86558,24.05357,7,1211.7705771442565
37933,49.86537,24.05354,8,1235.2203033579253
37933,49.86513,24.05361,9,1262.374622512709
37933,49.865,24.05365,10,1277.1115348801018
37933,49.86492,24.05364,11,1286.0359580873776
37933,49.86484,24.0536,12,1295.3821538968689
37933,49.86477,24.05353,13,1304.6427308421255
37933,49.86472,24.05343,14,1313.7138222138133
37933,49.86468,24.05332,15,1322.7661952183696
37933,49.86472,24.05343,16,1331.818568222926
37933,49.86477,24.05353,17,1340.8896595946137
37933,49.86484,24.0536,18,1350.1502365398703
37933,49.86492,24.05364,19,1359.4964323493616
