trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,timepoint
18550_0_1,07:00:00,07:00:00,5094,2,,1
18550_0_1,07:02:00,07:02:00,4644,3,,1
18550_0_1,07:04:00,07:04:00,44938,4,,1
18550_0_1,07:07:00,07:07:00,4780,5,,1
18550_0_1,07:10:00,07:10:00,5095,6,,1
18550_0_1,07:12:00,07:12:00,5096,7,,1
18550_0_1,07:14:00,07:14:00,4996,8,,1
18550_0_1,07:18:00,07:18:00,4789,10,,1
18550_0_1,07:21:00,07:21:00,4574,11,,1
18550_0_1,07:23:00,07:23:00,4575,12,,1
18550_0_1,07:26:00,07:26:00,4670,13,,1
18550_0_1,07:28:00,07:28:00,5001,14,,1
18550_0_1,07:31:00,07:31:00,5050,15,,1
18550_0_1,07:33:00,07:33:00,4997,16,,1
18550_0_1,07:36:00,07:36:00,4910,17,,1
18550_0_1,07:38:00,07:38:00,4911,18,,1
18550_0_1,07:40:00,07:40:00,4912,19,,1
18550_0_1,07:42:00,07:42:00,44808,20,,1
18550_0_1,07:44:00,07:44:00,4914,21,,1
18550_0_1,07:47:00,07:47:00,5097,22,,1
