stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4711,0320,ТРЦ Кінг Кросс (320),"вул. Стрийська, 30",49.774093,24.012718
4712,0434,Іподром (434),вул. Стрийська 179,49.778119,24.014171
4713,0435,Сокільницька (435),"вул. Стрийська, 197",49.784229,24.014322
4714,433,Автовокзал (433),"вул. Стрийська, 109",49.787405,24.017618
4715,432,Максимовича (432),"вул. Стрийська, 71",49.792621,24.016092
4693,431,Гашека (431),"вул. Стрийська, 61",49.794712,24.016521
4691,430,Скорини (430),"вул. Стрийська, 57",49.798002,24.017245
4614,553,Стрийська-Наукова (553),вул. Наукова,49.802078,24.017267
4615,552,Підстригача (552),"вул. Наукова, 148а",49.802385,24.014091
4616,539,Тролейбусна (539),"вул. Наукова, 12",49.803417,24.004875
4617,541,Княгині Ольги (541),"вул. Наукова, 30",49.803960,23.999090
4618,545,Центр зайнятості (545),"вул. Наукова, 62",49.804362,23.995203
4619,549,Клуб Науковий (549),"вул. Наукова, 64а",49.804714,23.991732
5124,546,Симоненка (546),"вул. Наукова, 112",49.805456,23.985579
4620,533,Щирецька (533),"вул. Кульпарківська, 123",49.809356,23.982562
4716,131,Скнилівок (131),"вул. І. Виговського, 89",49.812297,23.981942
4717,130,Південний (130),"вул. Виговського, 69",49.813671,23.976856
4718,129,Скнилівський парк (129),"вул. Виговського, 47",49.816714,23.972350
4719,128,Любінська-Виговського (128),"вул. Виговського, 41",49.819621,23.969861
44993,148,Любінська-Виговського (148),"вул. Любінська, 101",49.820916,23.969706
