route_id,service_id,trip_id,direction_id,trip_headsign,block_id,shape_id,wheelchair_accessible,bikes_allowed
992,224,18550_0_1,1,Авторинок (199),18550,37933,0,0
992,224,18550_1_0,0,Грінченка (639),18550,37934,0,0
992,224,18550_1_1,1,Авторинок (199),18550,37933,0,0
992,224,18550_2_0,0,Грінченка (639),18550,37934,0,0
992,224,18550_2_1,1,Авторинок (199),18550,37933,0,0
992,224,18550_3_0,0,Грінченка (639),18550,37934,0,0
992,224,18550_3_1,1,Авторинок (199),18550,37933,0,0
992,224,18550_4_0,0,Грінченка (639),18550,37934,0,0
992,224,18550_4_1,1,Авторинок (199),18550,37933,0,0
992,224,18550_5_0,0,Грінченка (639),18550,37934,0,0
992,224,18550_5_1,1,Авторинок (199),18550,37933,0,0
992,224,18550_6_0,0,Грінченка (639),18550,37934,0,0
992,224,18550_6_1,1,Авторинок (199),18550,37933,0,0
992,224,18550_7_0,0,Грінченка (639),18550,37934,0,0
992,224,18550_7_1,1,Авторинок (199),18550,37933,0,0
992,224,18551_0_0,0,Грінченка (639),18551,37934,0,0
992,224,18551_0_1,1,Авторинок (199),18551,37933,0,0
992,224,18551_1_0,0,Грінченка (639),18551,37934,0,0
992,224,18551_1_1,1,Авторинок (199),18551,37933,0,0
992,224,18551_2_0,0,Грінченка (639),18551,37934,0,0
